1,大吉,思うまゝです　しかし油断すれば叶わず,買うに吉利あり,安心して勉学せよ
2,大吉,改めかえてすれば望事叶い喜び多し,見込確なれば儲有,安心して勉学せよ
3,大吉,思うにまかせず時をまて叶う,利益思わしくない,安心して勉学せよ
4,大吉,目上の人の助を得て思わず早く調のう,気をつけてすれば吉,安心して勉学せよ
5,小吉,叶いがたく利なけれど後自然成就す,利益少なし,困難なり勉学せよ
6,大吉,思いがけぬ人の助ありて叶う事あり,吉売買何れも吉,安心して勉学せよ
7,中吉,他人の助により望み事叶う急ぐな,多く買えば損あり,怠たれば危うし
8,中吉,早く叶いて喜あり,売買物何れも吉,怠たれば危うし
9,大吉,叶い難い様ですが半より案外安く叶う,利あり売るによし,安心して勉学せよ
10,小吉,他人の助けにあって思う様になります,他人の世話で利あり,困難です勉学せよ
11,大吉,金銭其他万事心任です安心油断大敵,売物買物損はなし,安心して勉学せよ
12,大吉,首尾よく叶うしかし 油断すれば破れる,損なし相当利あり,安心して勉学せよ
13,小吉,思うにまかせず目に見えて早くは出来ず,利益なく損あり,困難なり勉学せよ
14,末吉,思いがけぬ事にて 破れる恐あり,損にもならず利無,危うし全力を尽せ
15,末吉,他人と共にして吉 我儘せねば諸事叶う,買うによし利あり,危うし全力を尽せ
16,凶,些の事から過り思う事破れる恐れあり,思いがけぬ損あり,危うし全力を尽くせ
17,小吉,思いのまゝです他人の世話よくせよ,利あり損はなし,困難です勉学せよ
18,大吉,出来兼る様に危険を覚えるが後調う,買うのは損控えよ,安心して勉学せよ　
19,末吉,他人を助けよ人の助けにて叶います,利益相当あり,危うし全力を尽せ　
20,大吉,のぞみのまゝです　人の言葉に迷うな,利益あり進んで吉,安心して勉学せよ　
21,小吉,あせらず騒がずゆるゆる進めばよし ,売買共に利益あり,困難なり勉学せよ
22,大吉,漸々吉運に向いて思わず早く叶う　,ひそかにすれば吉,安心して勉学せよ後勝つ
23,小吉,あせるな 人に任せれば吉,大きな損はなし,困難です勉学せよ
24,大吉,思う様に運ぶ 家屋敷田地売買共に吉,上吉さわぐと損,安心して勉学せよ
25,凶,春より秋がよい,さわげば損あり,怠たると危うし
26,中吉,おそいが後に叶う 口舌を慎みてよし,扱うて損をせず,怠たれば危うし
27,大吉,初めは思わしくないが後は必ずよし,あせっては損する,安心して勉学せよ
28,小吉,思い通りですしかしやり過せば悪し,利益あり売に吉,困難です勉学せよ
29,末吉,すこし暇がかかるが叶う,買入る方吉,危うし全力を尽せ
30,中吉,心配多くして其功すくなく急ぐな,売買共に利少し,怠たれば危うし
31,吉,人の助で調う争わぬようにせよ,高からず人気弱し,努力すればよろし
32,吉,心長くして騒がねば時いたりて叶う,利少し物価定らず,努力すればよろし
33,小吉,さまたげありてなりがたし進は悪し,高からず利少し,困難なり勉学せよ
34,大吉,思い通りですが 油断するな,おそいが利あり,安心して勉学せよ
35,末吉,他人にさまたげられる恐あり,俄に下る事あり,安心して勉学せよ
36,吉,とゝのう　しかし色情につき妨起る,物価かわりなし,努力すればよろし
37,末吉,女について争いあり気をつけなさい,不意の動きあり,危うし全力を尽せ
38,吉,他人の助けにより早く成功します,おもわぬ損あり,努力すればよろし
39,吉,二つの願を一度に叶えんとすればわるし,吉大利なし,努力すればよろし
40,吉,早くすれば他人の助けありて調のう,利益あれど少なし,努力すればよろし
41,大吉,心ながく思うてせよ 叶いましょう,物の価変動あり,安心して勉学せよ
42,小吉,初めにきをつけねば中途でやぶれる,ねだん上下なし,困難なり勉学せよ
43,大吉,おもう通りになる早くて吉,利益すくなし,安心して勉学せよ
44,凶,にわかに事をなさんとすれば災あり,次第に上りて利,危うし全力を尽せ
45,中吉,無理に事をなすは悪し時をまて叶う,物価ひくゝなる,怠たれば危うし
46,大吉,気ながくすればととのう安心せよ,物価下る買うは悪し,安心して勉学せよ
47,中吉,急には無理ひかえてよし,改めて利益あり,怠たれば危うし
48,末吉,驚く事あれどあわてねば叶う,さわがぬが利益,危うし全力を尽せ
49,吉,おそいが思う通りになる 吉,物価上下定まらず,努力すればよろし
50,中吉,とゝのう物に迷うてはいけません,損もなし利少し,怠たると危うし